DATA;LOCAL;TIME CASA;PLACAR;TIME VISITANTE
15/03/2019 - 21:30;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;0|3;HINODE BARUERI
15/03/2019 - 21:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|0;BRB/BRASILIA VOLEI
15/03/2019 - 21:30;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;0|3;MINAS TENIS CLUBE
15/03/2019 - 21:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;0|3;SESC RJ
16/11/2018 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|0;HINODE BARUERI
16/11/2018 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;3|1;FLUMINENSE F.C.
16/11/2018 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;0|3;DENTIL/PRAIA CLUBE
16/11/2018 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;1|3;MINAS TENIS CLUBE
16/11/2018 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;1|3;OSASCO VOLEIBOL CLUBE/AUDAX
16/11/2018 - 21:30;TIJUCA TENIS CLUBE;SESC RJ;3|0;CURITIBA VÔLEI
20/11/2018 - 19:30;TIJUCA TENIS CLUBE;SESC RJ;3|2;BRB/BRASILIA VOLEI
20/11/2018 - 19:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|2;CURITIBA VÔLEI
20/11/2018 - 19:30;JOSE CORREA;HINODE BARUERI;3|1;ESPORTE CLUBE PINHEIROS
20/11/2018 - 20:00;HEBRAICA;FLUMINENSE F.C.;3|1;VOLEI BALNEARIO CAMBORIU
20/11/2018 - 20:00;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|1;SESI VOLEI BAURU
20/11/2018 - 20:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;SAO CRISTOVAO SAUDE SAO CAETANO
23/11/2018 - 19:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;2|3;ESPORTE CLUBE PINHEIROS
23/11/2018 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;3|0;VOLEI BALNEARIO CAMBORIU
23/11/2018 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;0|3;DENTIL/PRAIA CLUBE
23/11/2018 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;0|3;SESC RJ
23/11/2018 - 20:00;HEBRAICA;FLUMINENSE F.C.;2|3;HINODE BARUERI
23/11/2018 - 21:30;PANELA DE PRESSAO;SESI VOLEI BAURU;1|3;MINAS TENIS CLUBE
26/11/2018 - 19:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;0|3;DENTIL/PRAIA CLUBE
27/11/2018 - 19:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;0|3;MINAS TENIS CLUBE
